symbol,name,type
MIGYX,Oppenheimer Main Street Y,mf
GMGFX,GMO International Growth Equity IV,mf
JMCCX,JPMorgan Mid Cap Equity C,mf
JUCHX,JHancock3 US Core R3,mf
NRFNX,Natixis AEW Real Estate N,mf
XPNIX,PIMCO New York Municipal Income,mf
DVFNX,Delaware Tax-Free NY C,mf
NVHIX,Nuveen Short Duration Hi Yld Muni Bd I,mf
EARSX,MFS Research International 529A,mf
PAGEX,T. Rowe Price Global Real Estate Adv,mf
LMFRX,QS Legg Mason Target Retirement 2015 R,mf
NHCCX,Nuveen High Yield Municipal Bond C,mf
FIRIX,Fidelity Advisor Intl Real Estate I,mf
FHYOCX,FIRST TRUST 1255 HIGH-YIELD INC,mf
CMNZX,Columbia Minnesota Tax-Exempt Z,mf
DVHIX,Delaware National Hi-Yld Muni Bd Instl,mf
VGELX,Vanguard Energy Adm,mf
BGEIX,American Century Global Gold Inv,mf
CVLRX,Calamos Global Growth & Income R,mf
KTCBX,Deutsche Science and Technology B,mf
XNZHX,Nuveen California Dividend Adva,mf
AFPAX,AmericaFirst Income Trends A,mf
GSZAX,Goldman Sachs Strategic Income A,mf
RAMCX,American Funds ST Bd Fd of America R3,mf
OGOAX,Oak Ridge Growth Opportunity A,mf
TEQAX,Touchstone Large Cap Growth A,mf
WCGRX,Wells Fargo Advantage Capital Growth R4,mf
NGHCX,Neuberger Berman Glbl Thematic Opp C,mf
NGWAX,AllianzGI US Managed Volatility A,mf
ZFNEX,FIRST TRUST PORTFOLIOS NEW E CO,mf
SELRX,Deutsche Select Alternative Allc R,mf
EITMX,Eaton Vance Tx-Mgd Growth 1.1 I,mf
TAMUX,Transamerica Enhanced Muni A,mf
RYPRX,Royce Premier Invmt,mf
EMHBX,MFS High Income 529B,mf
PRLIX,PIMCO RealRetirement 2030 Instl,mf
FMMLX,Fidelity Advisor Ser Stk Sel Lg Cp Val,mf
AZSAX,American Beacon Zebra Small Cap Eq A,mf
DFIPX,DFA International Value R2,mf
POSKX,PRIMECAP Odyssey Stock,mf
OCAYX,Oppenheimer Rochester CA Municipal Y,mf
NPTIX,Nuveen Tradewinds Global All-Cap Plus I,mf
REETX,American Funds 2030 Trgt Date Retire R5,mf
TSGRX,TIAA-CREF Lifestyle Growth Retirement,mf
AEPFX,American Funds Europacific Growth F2,mf
NHYRX,Nuveen High Yield Bond I,mf
ALIEX,Aberdeen Latin American Equity Instl,mf
DDVIX,Delaware Value Inst,mf
MEQLX,Morgan Stanley Inst Asian Equity L,mf
URTCX,JPMorgan Realty Income C,mf
VAFAX,Invesco American Franchise A,mf
RDWFX,American Funds Dvlpg Wld Gr&Inc; R-5,mf
FDOPRX,FIRST TRUST 2615 SENIOR LOAN & ,mf
PFTCX,PIMCO Short-Term C,mf
JSIVX,Perkins Small Cap Value L,mf
DAVPX,Davenport Core,mf
SDYTX,Dreyfus Tax Sensitive Total Return Bd Y,mf
CMRVX,CM Advisors Small Cap Value R,mf
ABCSX,AllianceBern Discovery Value C,mf
LFTUX,MFS Lifetime 2015 R4,mf
JASPX,JPMorgan Asia Pacific Select,mf
VKLDNX,n Kampen 1099 Closed-End Strate,mf
MMABX,MFS Moderate Allocation B,mf
PAHIX,T. Rowe Price High-Yield Adv,mf
VGRRX,Invesco Mid Cap Growth R,mf
SGGDX,First Eagle Gold A,mf
DNFRX,Dunham Floating Rate Bond N,mf
COCVX,Columbia Overseas Value C,mf
FSUTX,Fidelity Select Utilities Portfolio,mf
WQCEX,Wright Major Blue Chip Equities,mf
JLKEX,JHancock Retire Living through 2050 R2,mf
MFINX,Deutsche Core Fixed Income Institutional,mf
MINIX,MFS International Value I,mf
LRRSX,QS Legg Mason Strategic Real Return IS,mf
HFLCX,Hartford Floating Rate C,mf
VMIDX,VALIC Company I Mid Cap Index,mf
PIIRX,Putnam International Value R,mf
FCKSX,Nuveen KS Municipal Bond C2,mf
PTRLX,Putnam Absolute Return 300 R5,mf
VGSLX,Vanguard REIT Index Adm,mf
CXAIX,Astor Active Income ETF C,mf
UNHHX,Waddell & Reed Global Bond A,mf
FCPRNX,FIRST TRUST 2857 TARGET GLOBAL ,mf
FAJTX,American Funds 2055 Trgt Date Retire F1,mf
HJPIX,Hennessy Japan Institutional,mf
JRTBX,JHancock Retire Living thru II 2025 1,mf
CFERX,Columbia Floating Rate K,mf
HBNBX,Hartford Total Return Bond HLS IB,mf
AFFIX,API Efficient Frontier Income L,mf
ARBYX,Pioneer Absolute Return Bond Y,mf
FEDEX,Federated Capital Appreciation A,mf
DSENX,DoubleLine Shiller Enhanced CAPE N,mf
SGFCX,Sparrow Growth C,mf
EIIGX,E.I.I. Global Property Institutional,mf
TRVLX,T. Rowe Price Value,mf
PGEMX,George Putnam Balanced M,mf
MACSX,Matthews Asian Growth & Inc Investor,mf
IVMYX,Ivy Managed European/Pacific Y,mf
BXFYX,Babson Global Floating Rate Y,mf
GARTX,Goldman Sachs Absolute Return Tracker A,mf
ADTNCX,ADVISORS DISCIPLINED TR 81  NEW,mf
VSMGX,Vanguard LifeStrategy Moderate Gr Inv,mf
FAOTX,American Funds 2020 Trgt Date Retire F1,mf
LEOYX,Loomis Sayles Emerging Markets Opps Y,mf
XHYFX,Managed High Yield Plus Fund In,mf
DGRIX,Dreyfus Growth & Income,mf
HALAX,Hartford Global Growth A,mf
FKUSX,Franklin US Government Secs A,mf
SCUVX,Schroder US Opportunities Adv,mf
BDLAX,Lord Abbett Bond-Debenture C,mf
MHIIX,MFS High Income I,mf
MMIZX,MM S&P; 500 Index I,mf
LYRBX,Lyrical US Value Equity Investor,mf
HATRX,Highland Alpha Trend Strategies R,mf
DMECX,Dreyfus Select Managers Small Cap Val C,mf
GYIRX,Goldman Sachs High Yield Muni IR,mf
NDVCX,MFS New Discovery Value C,mf
CMTFX,Columbia Global Technology Growth Z,mf
BRHYX,BlackRock High Yield Bond BlackRock,mf
MCNVX,MainStay Convertible Instl,mf
SHYOX,Western Asset Global High Yield Bd I,mf
RDVIX,Royce Dividend Value Invmt,mf
VBINX,Vanguard Balanced Index Inv,mf
MIMIX,MFS Municipal Income I,mf
PIGFX,Pioneer Fundamental Growth A,mf
RGRDX,JHancock Select Growth ADV,mf
FIIGX,First Investors Investment Grade A,mf
HEISX,Eagle International Equity R5,mf
MLVTX,MFS Low Volatility Equity R5,mf
IJBPX,ING Artio Foreign Port I,mf
CMCPX,Active Port Multi-Mgr Core Plus Bond A,mf
FSQGX,Fifth Third Quality Growth Inv A,mf
SQBCX,Saratoga Investment Quality Bond C,mf
EADDX,Eaton Vance Multi-Strat Absolute Ret A,mf
KLCCX,Federated Kaufmann Large Cap C,mf
PIVSX,PIMCO RealRetirement 2035 R,mf
TBMBX,JHancock Tax-Free Bond C,mf
XPTYX,PIMCO Corporate & Income Opport,mf
PRFDX,T. Rowe Price Equity Income,mf
GGOBX,Goldman Sachs Growth Opportunities B,mf
PRLYX,Putnam Retirement Income Lifestyle 2 Y,mf
RYSIX,Rydex Electronics Inv,mf
CGBCX,Aberdeen Global Fixed Income C,mf
FCPGX,Fidelity Small Cap Growth,mf
VNVAX,Natixis Vaughan Nelson Value Opp A,mf
HWVIX,Hotchkis & Wiley Sm Cp Divers Val I,mf
VCGSX,VALIC Company I Government Securities,mf
AVEMX,Ave Maria Catholic Values,mf
CMBRX,Columbia Emerging Markets Bond R,mf
XAMFX,Ares Multi-Strategy Credit Fund,mf
XDHGX,DWS High  Income Opportunities ,mf
WAGOX,Wasatch Global Opportunities,mf
OINCX,JPMorgan Equity Income C,mf
FDTOX,Fidelity Advisor Diversified Stock A,mf
NWUCX,Nationwide US Small Cap Value C,mf
SDMQX,Prudential Short Dur Multi-Sect Bd Q,mf
FISPX,Federated Max-Cap Index Instl,mf
FOCWX,SunAmerica Focused Alpha Growth W,mf
VNYAX,Invesco NY Tax Free Inc A,mf
BPGEX,UBS Global Equity Y,mf
INDIX,ALPS|Kotak India Growth I,mf
FGBTX,Fidelity Advisor Investment Gr Bd T,mf
RINYX,Russell International Developed Mkts Y,mf
OMBZX,Old Mutual Asset Allocation Balanced Z,mf
NWRCX,Nationwide Retirement Income C,mf
ATDIX,Invesco Endeavor R5,mf
UBVSX,Undiscovered Mgrs Behavioral Value Sel,mf
MPFIX,Morgan Stanley Inst Core Plus FI Instl,mf
JSDUX,JPMorgan Short Duration Bond R6,mf
DODIX,Dodge & Cox Income,mf
FCINX,Fifth Third Equity Index C,mf
KHYCX,Deutsche High Income C,mf
CIRFX,American Funds Capital Inc Bldr 529F,mf
ZEOIX,Zeo Strategic Income I,mf
GNKIX,Ginkgo Multi-Strategy Investor,mf
CGMRX,CGM Realty,mf
PMRIX,Principal Government & High Qual Bd Inst,mf
DEGCX,Delaware Intl Value Equity C,mf
FATWX,Fidelity Advisor Freedom 2025 A,mf
WCIFX,Wright Current Income Fund,mf
FSGCX,Franklin Strategic Income C,mf
VZMCX,Invesco Macro International Equity C,mf
MDLOX,BlackRock Global Allocation Inv A,mf
THYFX,Thrivent Diversified Income Plus I,mf
RTLEX,Russell Tax-Managed US Large Cap E,mf
XCAPX,ACAP Strategic Fund,mf
DIIIX,Dreyfus India I,mf
HILIX,Hartford International Value I,mf
EAAIX,Wells Fargo Advantage Asset Alloc Instl,mf
EKHCX,Wells Fargo Advantage High Yld Bond C,mf
PTLDX,PIMCO Low Duration Instl,mf
JESIX,JHVIT Small Cap Index I,mf
OTGBX,Oppenheimer Capital Appreciation B,mf
GLMIX,MFS Global Multi-Asset I,mf
JAITX,Janus International Equity T,mf
CLRFX,Columbia Balanced K,mf
XNQJX,Nuveen New Jersey Investment Qu,mf
BEDIX,BlackRock Emerg Mkts Flex Dyn Bd Instl,mf
HCMDX,HCM Tactical Growth C,mf
XKYEX,Kayne Anderson Energy Total Ret,mf
NVOBX,Nuveen Tradewinds Value Opportunities B,mf
NOEMX,Northern Emerging Markets Equity Index,mf
USAUX,USAA Aggressive Growth,mf
AYBRX,AllianzGI High Yield Bond R,mf
PIVEX,Putnam Investors R6,mf
VKEDMX,Van Kampen 886 Closed-End Strat,mf
NEHPX,American Indep NestEgg 2030 A,mf
MFRFX,MFS Research A,mf
SWYSX,Schwab YieldPlus,mf
FDENTX,FIRST TRUST 2645 EQUITY INCOME ,mf
TLIRX,TIAA-CREF Lifecycle Retire Inc Retire,mf
SRBFX,Columbia Intermediate Bond Z,mf
MITYX,Morgan Dempsey Small/Micro Cap Value,mf
CIQNBX,Claymore Sec Def Ptf Unit 188 I,mf
PGNAX,Prudential Jennison Natural Resources A,mf
SHIBX,Western Asset Short Duration High Inc B,mf
MDVVX,Invesco Value FDP Inv A,mf
VMCPX,Vanguard Mid Cap Index InstlPlus,mf
FNPSX,ProFunds UltraSector Financials Svc,mf
TRLIX,TIAA-CREF Large-Cap Value Instl,mf
FIXRX,Fidelity Income Replacement 2042,mf
FABZX,Franklin K2 Alternative Strategies Adv,mf
COVBX,Columbia Small Cap Value Fund II B,mf
VFGRX,Victory Large Cap Growth R,mf
MLVPX,MFS Low Volatility Equity R3,mf
RWDNX,Redwood Managed Volatility N,mf
MCKNX,MainStay Conservative Allocation Inv,mf
RISIX,Royce International Smaller-Coms Instl,mf
JEESX,JPMorgan Emerging Economies Select,mf
QMLFX,Quantified Market Leaders Investor,mf
FGORX,Franklin US Government Secs R6,mf
JADTX,JHVIT Core Divers Gr & Inc Tr Ser II,mf
MLLAX,MFS Lifetime Retirement Income A,mf
VWMCX,Virtus Wealth Masters C,mf
CBEBX,Wells Fargo Advantage C&B; Lg Cap Val B,mf
WASYX,Ivy Asset Strategy Y,mf
SIMTX,Bernstein International Portfolio,mf
SMMIX,Invesco Summit P,mf
JMCGX,Jacob Micro Cap Growth Investor,mf
JEVRX,JHancock Emerging Markets R6,mf
AMWCX,ALPS | WMC Value Intersection C,mf
TMAPX,Touchstone Mid Cap A,mf
SREQX,Prudential Select Real Estate Q,mf
BCMAX,Sterling Capital Strategic Allc Gr A,mf
PEARX,PIMCO Emerging Multi-Asset R,mf
SHNCX,SunAmerica High Yield Bond C,mf
XNMOX,Nuveen Municipal Market Opportu,mf
SCWFX,American Funds SMALLCAP World F1,mf
VKCRPX,"Corporate Income Trust, Series ",mf
PSBMX,Principal SmallCap Blend R3,mf
ASVIX,American Century Small Cap Value Inv,mf
KAUAX,Federated Kaufmann A,mf
HDMBX,Hartford Small Company HLS IB,mf
SMCBX,Deutsche Mid Cap Growth B,mf
JPDVX,JPMorgan Diversified Instl,mf
VGRBX,Invesco Mid Cap Growth B,mf
XNGKX,NUVEEN CONNECTICUT DIVD ADVANTA,mf
BFGDX,Northern Instl Large Cap Growth Port D,mf
BWLIX,American Beacon Bridgeway Lg Cp Val Inv,mf
XEEBX,ggenheim BRIC ETF,mf
WFCGX,Wells Fargo Advantage Capital Growth A,mf
WMCNX,William Blair Macro Allocation N,mf
PPTYX,Putnam PA Tax Exempt Income Y,mf
XFGFX,nAmerica Focused Alpha Growth F,mf
REPSX,ProFunds Real Estate UltraSector Svc,mf
RYZAX,Rydex S&P; 500 Pure Value H,mf
DNHYX,Dunham High-Yield Bond N,mf
XNCVX,AllianzGI Convertible & Income ,mf
SBCAX,Principal SAM Strategic Growth B,mf
NTECX,Nuveen Tradewinds Emerging Markets C,mf
PLGIX,Principal LargeCap Growth I Inst,mf
RYDSX,Guggenheim Event Drv & Distrsd Strat H,mf
MPACX,Matthews Asia Growth Investor,mf
EIPNX,Eaton Vance PA Ltd Maturity Muni Inc I,mf
OMBAX,JPMorgan Mortgage-Backed Securities A,mf
NSDCX,Nationwide Inv Dest Mod Cnsrv Svc,mf
VADRX,Invesco Equally-Wtd S&P; 500 R,mf
